Channel,Peak viewers,Followers gained,Views gained,Language,T
ziGueira,36519,212042,7967420,Portuguese,890
A_Seagull,28779,55228,7374161,English,382
koil,13421,50231,7743238,English,20
PAGO3,20284,150470,12693893,Polish,510
Llobeti4,37469,606080,9957496,Spanish,753
殺梗 (xargon0731),8406,16999,17013239,Chinese,10
itsHafu,34345,36756,10008765,English,608
shongxbong,94869,671127,4198232,Arabic,183
StaysafeTV,15608,73218,7427189,English,871
Loeya,7955,337821,19024045,English,914
RiotGamesJP,60682,36105,9101692,Japanese,768
btssmash,94083,81658,6933788,English,119
PietSmiet,39004,122061,11483357,German,417
Payo,12274,112595,11672019,English,200
Shotz,10316,48388,5464553,English,464
실프_ (silphtv),9401,87400,7215989,Korean,930
m0xyy,25387,269311,6207063,English,1000
LexVeldhuis,58416,66680,14339774,English,560
NateHill,41610,449635,14221498,English,542
Shaunz,20861,84393,10605782,French,60
Emongg,21922,156093,5794763,English,314
fl0m,19318,183265,11489901,English,904
AsmodaiTV,11751,30588,6547592,English,696
Homyatol,26274,249186,6981248,Italian,276
Grimmmz,21993,37734,7803917,English,355
aXtLOL,25340,193266,8969210,Portuguese,178
boyMinORu,22141,73551,17822170,Thai,247
just_ns,37023,66811,12351240,Russian,488
BurkeBlack,4922,13471,5367772,English,123
Trick2g,28917,115863,8688676,English,738
FORMAL,16518,176173,4803076,English,680
Fortnite,169084,1163448,21509520,English,431
Magic,114234,50355,18694298,Spanish,465
Xari,28830,147894,5746209,French,510
RocketBeansTV,5223,27024,5973152,German,939
ANGRYPUG,9822,48331,4962556,English,979
MarcaoRX,5210,65904,4541683,Portuguese,521
yamatonjp,8247,67794,10882318,Japanese,422
btscsgo,74949,166599,9173781,English,108
Skyyart,32577,239491,8203617,French,138
gratis150ml,9601,129328,12187175,Portuguese,179
ShivFPS,7216,174213,6900666,English,90
Ponce,23255,196880,13687141,French,460
Distortion2,11495,44982,5500067,English,322
boxbox,25314,145809,9971842,English,659
강지 (rkdwl12),29993,270927,12873339,Korean,306
TheKAIRI78,47081,650990,5134322,French,384
RiotGamesRU,73049,75538,6832561,Russian,709
FPSThailand,38563,74894,18596656,Thai,863
김나성 (naseongkim),7628,20536,8471746,Korean,850
오킹 (obm1025),19328,244442,8920133,Korean,176
singsing,11839,45761,6526670,English,849
BlackUFA,10349,34803,12888906,Russian,344
QuattroAce,48810,136490,7245324,Russian,322
bateson87,20204,254821,16648694,English,445
Staiy,15429,90591,5503882,German,127
polsatgames,66706,74586,16290334,Polish,255
NymN,23488,111122,4409296,English,56
orangemorange,18387,85861,9889442,German,686
MinosTV_,24576,192534,5554989,French,715
NairoMK,22074,69474,6132895,English,636
철면수심 (109ace),12180,35165,7631326,Korean,660
UnknownxArmy,41700,836664,11325781,English,740
s1mple,34971,740732,20277843,English,255
bysTaXx,259210,795296,10207313,Spanish,19
Sjow,8140,21662,3365340,English,851
hardgamechannel,27529,256678,10562872,Russian,810
scoped,47343,728892,8279834,English,660
VooDooSh,7560,66129,9003037,Russian,846
WELOVEGAMES,27956,49713,23682775,Russian,633
StereOnline,4227,91352,4620985,Portuguese,616
keanelol,7208,85035,4068823,English,974
살인마협회장 (sal_gu),16252,45255,6226900,Korean,654
sips_,7872,84034,4331397,English,847
ESL_CSGOb,89949,183662,13742820,English,18
kyo1984123,5967,12731,12070678,Chinese,25
midbeast,16153,143256,10000927,English,221
Alexby11,53526,1145810,8378248,Spanish,315
Tumblurr,17165,236441,4008897,Italian,187
Veritas,103833,131913,4176079,English,497
daltoosh,16445,163486,3665065,English,321
ELoTRiX,31194,318247,5587147,German,971
TSM_Viss,18844,101135,7091125,English,141
Anthony_Kongphan,49085,44534,6805829,English,885
modestal,25985,193939,11440074,Russian,542
소풍왔니 (yumyumyu77),24521,46911,13030325,Korean,255
XEWER,17100,215059,6449741,French,924
blxckoutz,18483,402587,8381945,Portuguese,409
EASPORTSFIFA,106126,427684,11286667,English,253
ALOHADANCETV,18317,92209,12461610,Russian,236
연두는말안드뤄 (rudbeckia7),7111,24606,9675073,Korean,191
Flashpoint,77708,93120,27828448,English,437
Steelmage,10815,37839,7005761,English,976
RoyalPhunk,12141,34597,4921311,German,798
Overpow,10858,29344,9020762,Polish,418
NeVeR_LosEs,9671,23806,10608507,Chinese,603
AvoidingThePuddle,13108,67040,4202354,English,202
Ko0416,5448,12127,11705657,Chinese,653
Dota2ruhub2,54508,71813,13417924,Russian,497
Slushpuppy,118125,85852,5065635,English,274
itmeJP,24603,6134,10677522,English,232
JesusAVGN,43859,181914,13548535,Russian,368
tarzaned,14602,172683,7744943,English,672
Mickalow,37872,260914,8191116,French,569
UNLOSTV,128345,571237,11452750,Turkish,881
resttpowered,9248,37681,8585834,Slovak,495
Felps,15553,284169,6099521,Portuguese,535
Doublelift,52584,166536,7617972,English,157
쉐리 (kss7749),12295,19597,7546887,Korean,789
Kiwo,10836,38195,4900030,English,490
adolfz,15928,154653,2743587,Portuguese,584
LigaPro1,11533,29434,60922719,Other,604
knekro,13731,97206,10900480,Spanish,453
Savjz,12708,13967,4072337,English,77
BobbyPoffGaming,6453,81131,2208405,English,241
The_Happy_Hob,8560,38712,4158704,English,453
Smurfdomuca,18282,251923,5976634,Portuguese,570
Timmac,13500,32867,4232938,English,281
Nikolarn,30044,214216,3964166,English,443
소우릎 (so_urf),9665,44040,8120712,Korean,831
RiffTrax,24765,17200,3313465,English,497
pimpimenta,20855,254312,12258152,Portuguese,464
FACEIT TV (faceittv),145470,23166,17259602,English,706
crokeyz,5916,36715,3476636,English,576
Letshe,28808,687813,11561585,English,361
SaltyBet,3467,69465,4509671,English,287
소니쇼 (sonycast_),7998,54706,10802748,Korean,271
HGmony,21999,32326,90310969,Russian,40
jakenbakeLIVE,23432,116554,7920696,English,347
Syndicate,22845,282047,13227099,English,694
RakanooLive,22607,471456,3836302,Arabic,780
공혁준 (rhdgurwns),40001,67061,12487303,Korean,477
limit_maximum,124818,70116,5965543,English,936
ElRichMC,95938,431071,8120275,Spanish,803
guit88man,7681,25130,8666012,Russian,475
RaizQT,15185,31194,5190502,English,755
ReventXz,47282,219868,8050871,Spanish,328
PatoPapao,11694,116753,8955254,Portuguese,851
Replays,16193,449727,5185473,English,843
cdewx,23448,50596,8015709,English,130
亞洲統神 (asiagodtonegg3be0),18594,22853,11106574,Chinese,144
BotezLive,36278,280964,12851602,English,375
Conterstine,18090,375789,5308302,Spanish,732
BeyondTheSummit_PT,49496,60955,9694977,Portuguese,502
AlphaCast,28898,152951,8864009,French,642
DownToQuest,20723,53724,3524088,English,4
똘똘똘이_ (jungtaejune),6787,15713,8660860,Korean,946
PENTA,7172,40474,2786097,English,416
thedarkness,7440,138160,7628946,Portuguese,627
uhSnow,8375,43869,3334788,English,630
JERICHO,21935,66665,7582522,English,926
T90Official,51422,69044,6886631,English,887
DanucD,4439,223147,12048648,English,700
DisguisedToast,38169,192604,5928269,English,682
DesertHeartsRecords,24264,84304,58418224,English,671
Jankos,18826,271355,9284513,English,740
GarenaTW,85416,21388,7818029,Chinese,535
개복어 (dogswellfish),10929,37690,10626908,Korean,306
Sykkuno,29658,305734,5285377,English,991
JokerdTV,319862,157656,9070954,English,446
A1taOda,11974,67361,10306828,Russian,594
livekiss,7435,2447,1641644,Chinese,569
Jerma985,15921,92752,3411872,English,839
KamoLRF,19264,184854,5731570,German,45
GoldGlove,22448,23684,16902968,English,281
harbleu,13230,112349,3527460,English,622
runthefutmarket,20746,146753,4266359,English,120
웁_게임방송 (alenenwooptv),4290,22295,5390604,Korean,906
KarmikKoala,10587,71165,8619663,Russian,773
JustCooman,10776,89413,7809170,Russian,744
IamCristinini,7943,218848,12690137,Spanish,202
Xop0,4074,50725,18709302,Russian,821
Warframe,346131,282680,5405191,English,188
Smoke,25500,53212,2955403,English,751
Moondye7,22231,39732,6839587,German,389
jean_mago,11418,269837,7609872,Portuguese,10
mL7support,9038,140872,5387428,English,581
