First	Last_name	Player	AGE	EVENTS_PLAYED	AVG_CARRY_DISTANCE	STEEPEST_LAUNCH_ANGLE	FAIRWAYS_HIT	TOTAL_DRIVES
Phil	Mickelson	Phil Mickelson	48	22	293.8	12.69	551	868
Rafa	Bello	Rafa Cabrera Bello	36	19	271.3	13.43	584	616
Retief	Goosen	Retief Goosen	49	20	281.6	15.51	402	558
Richy	Werenski	Richy Werenski	35	32	273.6	14.77	819	1,006
Rickie	Fowler	Rickie Fowler	29	18	290.3	16.73	559	746
Ricky	Barnes	Ricky Barnes	39	22	268.5	13.66	389	630
Rob	Oppenheim	Rob Oppenheim	31	26	267.3	14.47	535	756
Robert	Garrigus	Robert Garrigus	33	27	291.3	14.12	597	948
Robert	Streb	Robert Streb	34	29	270.3	13.9	559	838
Roberto	Diaz	Roberto Diaz	32	25	260.5	14.49	601	784
Rod	Pampling	Rod Pampling	48	20	259.0	14.79	514	626
Rory	McIlroy	Rory McIlroy	29	16	302.5	14.8	396	628
Rory	Sabbatini	Rory Sabbatini	36	27	274.5	14.51	770	1,046
Russell	Henley	Russell Henley	29	23	268.5	13.48	683	760
Russell	Knox	Russell Knox	31	27	266.1	14.13	804	976
Ryan	Armour	Ryan Armour	36	31	257.5	12.86	1,060	1,344
Ryan	Blaum	Ryan Blaum	33	28	269.0	12.98	699	1,004
Ryan	Palmer	Ryan Palmer	39	21	284.9	13.65	484	836
Sam	Ryder	Sam Ryder	29	26	274.9	15.95	746	976
Sam	Saunders	Sam Saunders	33	26	285.0	14.58	620	934
Satoshi	Kodaira	Satoshi Kodaira	34	18	276.8	12.91	421	532
Scott	Brown	Scott Brown	36	32	271.8	14.62	848	1,130
Scott	Piercy	Scott Piercy	36	25	274.8	12.43	648	896
Scott	Stallings	Scott Stallings	38	30	283.7	14.11	687	1,088
Seamus	Power	Seamus Power	31	28	285.1	13.84	601	922
Sean	OHair	Sean OHair	33	22	285.4	16.46	527	794
Shane	Lowry	Shane Lowry	34	19	282.0	13.38	459	682
Si	Kim	Si Woo Kim	28	30	269.5	12.04	823	1,064
Smylie	Kaufman	Smylie Kaufman	25	22	286.8	14.03	268	544
Stephan	Jaeger	Stephan Jaeger	32	26	280.2	13.66	614	878
Steve	Wheatcroft	Steve Wheatcroft	34	20	266.0	13.56	566	644
Stewart	Cink	Stewart Cink	45	25	275.5	13.39	701	934
Sung	Kang	Sung Kang	31	29	280.9	13.62	675	934
Talor	Gooch	Talor Gooch	26	27	283.5	12.19	576	866
Ted	Jr	Ted Potter Jr	31	27	270.8	12.06	755	1,048
Tiger	Woods	Tiger Woods	42	16	290.3	13.72	466	738
Tom	Hoge	Tom Hoge	45	31	273.0	12.2	811	1,160
