Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,participants,Total Course Hours (Thousands),% Female,% Bachelor's Degree or Higher
MITx,6.002x,08/25/2014,Circuits and Electronics,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",19263,129.34,11.93,56.39
MITx,6.00.1x,08/27/2014,Introduction to Computer Science and Programming,Eric Grimson,Computer Science,21017,206.46,16.77,65.39
HarvardX,HUM2.1x,09/02/2014,The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric,Gregory Nagy,"Humanities, History, Design, Religion, and Education",7304,17.31,50.14,72.97
HarvardX,VJx,09/03/2014,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",John W. Dower,"Humanities, History, Design, Religion, and Education",8493,20.45,44.27,74.67
MITx,3.032x,09/03/2014,Mechanical Behavior of Materials,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",11841,81.04,15.99,65.85
MITx,3.091x,09/03/2014,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",5245,38.86,24.62,60.54
HarvardX,SW12.7x,09/04/2014,"Invasions, Rebellions, and the end of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4662,22.93,36.13,82.25
HarvardX,1368.1x,09/08/2014,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",3853,9.36,55.93,81.88
HarvardX,AMPOx.1,09/10/2014,Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",2820,7.68,56.2,68.15
HarvardX,HUM2.2x,09/14/2014,The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography,Gregory Nagy,"Humanities, History, Design, Religion, and Education",2310,6.77,50.72,69.74
HarvardX,GSE1.1x,09/16/2014,Unlocking the Immunity to Change: A New Approach to Personal Improvement,"Robert Kegan (Bob), Lisa Lahey","Humanities, History, Design, Religion, and Education",13305,51.77,56.79,80.95
HarvardX,PH555x,09/16/2014,Improving Global Health: Focusing on Quality and Safety,Ashish K. Jha,"Government, Health, and Social Science",9010,40.6,50.13,82.7
MITx,8.EFTx,09/16/2014,Effective Field Theory,Iain Stewart,"Science, Technology, Engineering, and Mathematics",7093,16.85,11.17,72.54
MITx,4.605x,09/23/2014,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",7052,54.46,51.44,74.88
HarvardX,AT1x,09/30/2014,AnatomyX: Musculoskeletal Cases,Trudy Van Houten,"Science, Technology, Engineering, and Mathematics",26086,88.43,49.05,62.09
MITx,ESD.SCM1x,09/30/2014,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",25600,255.4,22.96,84.04
MITx,24.00x,09/30/2014,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",20109,65.35,33.46,62.77
MITx,JPAL 101x,10/01/2014,Evaluating Social Programs,Rachel Glennerster,"Government, Health, and Social Science",5321,26.71,51.09,91.41
MITx,6.832x,10/01/2014,Underactuated Robotics,Russ Tedrake,"Science, Technology, Engineering, and Mathematics",11074,41.65,8.03,61.38
HarvardX,HUM2.3x,10/08/2014,The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes,Gregory Nagy,"Humanities, History, Design, Religion, and Education",1559,3.2,49.65,66.91
MITx,11.132x,10/08/2014,Design and Development of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",15942,44.73,38.67,83.01
HarvardX,SW12.8x,10/09/2014,Creating China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4515,23.92,35.67,82.68
MITx,6.00.2x,10/21/2014,Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,11690,81.0,12.67,74.6
HarvardX,HUM2.4x,10/22/2014,The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy,Gregory Nagy,"Humanities, History, Design, Religion, and Education",1615,3.63,49.72,68.89
HarvardX,AMPOx.2,10/22/2014,"Poetry in America: Nature and Nation, American Poetry, 1700-1850",Elisa New,"Humanities, History, Design, Religion, and Education",1911,6.58,59.38,75.54
MITx,11.126x,10/22/2014,Introduction to Game Design,Eric Klopfer,"Humanities, History, Design, Religion, and Education",25569,50.33,17.99,57.7
HarvardX,1368.2x,10/27/2014,"Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",1275,3.28,52.7,85.23
HarvardX,SW47.1x,10/30/2014,Entrepreneurship and Healthcare in Emerging Economies,Tarun Khanna,"Government, Health, and Social Science",10332,17.21,36.96,78.58
HarvardX,HUM2.5x,11/12/2014,The Ancient Greek Hero: Plato and Beyond,Gregory Nagy,"Humanities, History, Design, Religion, and Education",2201,2.41,46.57,71.9
MITx,9.01x,11/18/2014,"Light, Spike, and Sight: The Neuroscience of Vision",Sebastian Seung,"Science, Technology, Engineering, and Mathematics",7000,18.49,33.89,70.22
HarvardX,SW12.9x,11/20/2014,Communist Liberations,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4248,23.03,32.89,82.98
HarvardX,CS50x,01/01/2015,Introduction to Computer Science,David Malan,Computer Science,301082,275.96,22.32,51.95
HarvardX,SW12.10x,01/05/2015,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",5864,48.23,35.19,82.54
HarvardX,1368.3x,01/05/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education",1483,3.4,53.44,80.97
HarvardX,AMPOx.3,01/07/2015,Poetry in America: Walt Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",3879,9.2,55.37,71.38
MITx,6.00.1x,01/07/2015,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag",Computer Science,49529,485.67,17.44,67.27
MITx,15.S23x,01/07/2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",21420,82.24,45.74,84.87
HarvardX,HLS2x,01/08/2015,ContractsX: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",15433,68.16,33.73,77.3
MITx,8.MECHCx,01/08/2015,Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",6980,76.36,15.44,48.64
MITx,15.390.1x,01/09/2015,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",30780,110.41,21.78,72.88
MITx,15.390.2x,01/09/2015,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",13173,33.06,22.35,76.93
MITx,7.QBWx,01/13/2015,Quantitative Biology Workshop,Collaborative,"Science, Technology, Engineering, and Mathematics",4143,26.27,34.05,76.81
MITx,3.086x,01/14/2015,Innovation and Commercialization,Eugene Fitzgerald,"Government, Health, and Social Science",12208,36.51,20.45,76.75
HarvardX,PH525.1x,01/19/2015,Data Analysis for Genomics: Statistics and R for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",28425,107.06,30.1,86.74
MITx,6.002x,01/20/2015,Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",22828,99.42,11.91,54.57
MITx,21W.789x,02/02/2015,Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,18454,24.59,17.2,71.79
MITx,14.73x,02/03/2015,The Challenges of Global Poverty,"Duflo, Banerjee","Government, Health, and Social Science",7664,66.87,48.49,78.56
MITx,6.041x,02/03/2015,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jailet, Dimitri Bertsekas","Science, Technology, Engineering, and Mathematics",22537,217.1,16.63,73.49
MITx,6.341x,02/03/2015,Discrete-Time Signal Processing,"Oppenheim, Baran","Science, Technology, Engineering, and Mathematics",7396,48.98,8.6,72.54
HarvardX,1368.4x,02/09/2015,"Saving Schools: History, Politics, and Policy in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",1465,3.16,51.5,81.63
HarvardX,SPU30x,02/10/2015,Super-Earths and Life,Dimitar Sasselov,"Science, Technology, Engineering, and Mathematics",7008,21.03,31.39,60.75
MITx,3.072x,02/10/2015,"Symmetry, Structure and Tensor Properties of Materials",Eugene Fitzgerald,"Science, Technology, Engineering, and Mathematics",5448,11.54,16.88,69.8
MITx,8.05x,02/10/2015,Mastering Quantum Mechanics,Barton Zwiebach,"Science, Technology, Engineering, and Mathematics",10932,187.44,12.81,64.49
HarvardX,EMC2x,02/11/2015,The Einstein Revolution,Peter Galison,"Humanities, History, Design, Religion, and Education",11705,40.5,27.09,66.55
HarvardX,HKS211.2x,02/12/2015,"Central Challenges in American National Security, Strategy and the Press","Graham Allison, David Sanger","Government, Health, and Social Science",6454,20.36,30.91,73.65
HarvardX,PH525.2x,02/16/2015,Introduction to Linear Models and Matrix Algebra,Rafael Irizarry,"Government, Health, and Social Science",12007,27.9,19.52,83.51
MITx,3.091x,02/26/2015,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",3661,29.49,23.97,59.58
HarvardX,PH525.3x,03/02/2015,Advanced Statistics for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",9266,37.84,28.04,90.17
MITx,6.004.1x,03/03/2015,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,15530,126.65,10.5,59.24
MITx,15.071x,03/03/2015,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",26776,648.95,19.29,86.68
MITx,16.00x,03/03/2015,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Jeffrey Hoffman,"Science, Technology, Engineering, and Mathematics",13525,121.16,15.5,52.15
MITx,6.00.2x,03/04/2015,Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,14835,159.01,14.67,75.51
HarvardX,HLS3x,03/10/2015,JuryX: Deliberations for Social Change,Charles Nesson,"Government, Health, and Social Science",4091,5.88,44.28,62.24
MITx,7.28.1x,03/10/2015,Molecular Biology: DNA Replication and Repair,"Stephen Bell, Tania Baker","Science, Technology, Engineering, and Mathematics",7723,98.6,41.48,70.24
HarvardX,AMPOx.4,03/18/2015,Poetry in America: Emily Dickinson,Elisa New,"Humanities, History, Design, Religion, and Education",5261,20.14,66.74,75.48
MITx,15.662x,03/23/2015,The American Dream for the Next Generation,Thomas Kochan,"Government, Health, and Social Science",5084,20.5,36.87,73.47
HarvardX,PH525.4x,03/30/2015,Introduction to Bioconductor,Rafael Irizarry,"Government, Health, and Social Science",4785,29.02,28.02,86.92
MITx,15.390.1x,03/31/2015,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",25206,64.07,25.91,69.67
MITx,11.127x,04/01/2015,Design and Development of Games for Learning,Eric Klopfer,"Humanities, History, Design, Religion, and Education",15282,36.12,27.19,72.15
MITx,JPAL 101x,04/01/2015,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",3922,34.15,48.91,90.65
MITx,3.15x,04/08/2015,"Electrical, Optical and Magnetic Materials and Devices",Caroline Ross,"Science, Technology, Engineering, and Mathematics",10626,30.79,13.05,60.39
HarvardX,PH525.5x,04/27/2015,"Data Analysis for Genomics: Case Study, RNA Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",4262,12.86,34.89,90.87
HarvardX,PH525.6x,04/27/2015,"Data Analysis for Genomics: Case study, Variant Discovery and Genotyping",Rafael Irizarry,"Government, Health, and Social Science",2428,8.35,35.8,87.88
HarvardX,PH525.7x,04/27/2015,"Data Analysis for Genomics: Case study, ChIP Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",2250,3.6,31.41,89.94
HarvardX,PH525.8x,04/27/2015,"Data Analysis for Genomics: Case study, DNA Methylation Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",2656,5.33,34.66,83.74
MITx,15.390.2x,05/01/2015,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",6137,11.95,25.78,71.62
HarvardX,BUS5.1x,05/05/2015,Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",9185,13.23,38.52,84.74
HarvardX,AMPOx.5,05/06/2015,Poetry in America: The Civil War and Its Aftermath,Elisa New,"Humanities, History, Design, Religion, and Education",2479,7.49,58.75,73.39
HarvardX,GSE3x,05/12/2015,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,"Humanities, History, Design, Religion, and Education",8286,20.03,53.61,87.58
MITx,CTL.SC1x,05/27/2015,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",19996,344.95,24.02,81.29
MITx,8.MECHCx,05/28/2015,Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",8088,67.6,20.64,48.24
MITx,UINOV8x,06/01/2015,User Innovation: A Path to Entrepreneurship,Eric von Hippel,"Government, Health, and Social Science",41361,69.95,26.92,68.73
MITx,18.01.1x,06/02/2015,Calculus: Differentiation,David Jerison,"Science, Technology, Engineering, and Mathematics",18266,218.27,20.34,55.67
MITx,15.071x,06/02/2015,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",31551,547.35,18.75,84.94
MITx,24.118x,06/09/2015,Paradox and Infinity,Augustin Rayo,"Humanities, History, Design, Religion, and Education",12426,83.98,25.15,61.12
MITx,6.00.1x,06/10/2015,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,53964,895.01,21.47,64.59
MITx,0.111x,06/15/2015,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Felice Frankel,"Science, Technology, Engineering, and Mathematics",6934,15.61,31.05,76.69
HarvardX,MCB63x,06/16/2015,Principles of Biochemistry,"Alain Viel, Rachelle Gaudet","Science, Technology, Engineering, and Mathematics",31710,90.12,45.95,59.0
HarvardX,SPU27x,06/17/2015,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",48922,67.71,52.19,69.11
MITx,10.03x,07/14/2015,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Stacy Springs","Government, Health, and Social Science",4404,41.5,40.47,74.49
MITx,11.133x,07/15/2015,Implementation and Evaluation of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",4518,11.99,39.68,87.64
MITx,7.28.1x,08/04/2015,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",5725,43.57,44.3,72.99
HarvardX,USW30x,08/05/2015,Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",4794,10.93,65.69,75.32
MITx,6.00.1x,08/26/2015,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,54361,567.96,18.55,66.28
MITx,6.004.1x,09/01/2015,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Wachman",Computer Science,16094,97.06,12.63,55.59
HarvardX,HKS101A,09/08/2015,Introduction to American Government,Thomas Patterson,"Government, Health, and Social Science",16005,63.24,41.62,61.59
MITx,3.091x,09/08/2015,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",4767,41.98,24.45,61.27
MITx,3.032.1x,09/09/2015,Mechanical Behavior of Materials: Linear Elastic Behavior,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",6577,40.32,16.66,67.57
MITx,15.671x,09/10/2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",23087,166.11,48.79,86.69
HarvardX,VJx,09/15/2015,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",2175,11.83,43.63,73.26
HarvardX,HUM1.1x,09/21/2015,History of the Book: Making and Meaning in the Medieval Manuscript,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",4033,11.11,60.89,75.55
HarvardX,HUM1.2x,09/21/2015,History of the Book: Scrolls in the Age of the Book,Tom Kelly,"Humanities, History, Design, Religion, and Education",2085,4.95,57.74,73.88
HarvardX,HUM1.3x,09/21/2015,"History of the Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650)",Ann Blair,"Humanities, History, Design, Religion, and Education",1732,4.39,57.76,79.85
HarvardX,HUM1.4x,09/21/2015,History of the Book: The History of the Book in the 17th and 18th Century Europe,Robert Darnton,"Humanities, History, Design, Religion, and Education",2587,5.71,61.96,73.64
HarvardX,HUM1.5x,09/21/2015,History of the Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public,Leah Price,"Humanities, History, Design, Religion, and Education",2862,3.35,66.62,72.64
